,radius,30,y,x
Circle,inf,3.3526,11.23992676,0.0
Bar 1,0.0577,3.1556,9.957811360000001,300.36434194678145
Bar 2,0.0515,2.6521,7.0336344099999994,377.0383636535018
Bar 3,0.0451,2.3512,5.52814144,491.6396674549289
Bar 4,0.03875,2.0489,4.1979912100000005,665.9729448491155
Bar 5,0.0324,1.8472,3.41214784,952.5986892242038
Straight line current,0.03,0.3476,0.12082576000000002,1111.111111111111
