,radius,45,y,x
Circle,inf,4.0592,16.477104639999997,0.0
Bar 1,0.0577,3.7564,14.110540960000002,300.36434194678145
Bar 2,0.0515,3.2568,10.606746240000001,377.0383636535018
Bar 3,0.0451,2.753,7.579009000000001,491.6396674549289
Bar 4,0.03875,2.4504,6.004460160000001,665.9729448491155
Bar 5,0.0324,2.2502,5.06340004,952.5986892242038
Straight line current,0.03,0.3477,0.12089529,1111.111111111111
