,radius,50,y,x
Circle,inf,4.0592,16.477104639999997,0.0
Bar 1,0.0577,3.9583,15.66813889,300.36434194678145
Bar 2,0.0515,3.3531,11.24327961,377.0383636535018
Bar 3,0.0451,2.9554,8.734389160000001,491.6396674549289
Bar 4,0.03875,2.5517,6.511172889999999,665.9729448491155
Bar 5,0.0324,2.3513,5.528611690000001,952.5986892242038
Straight line current,0.03,0.4482,0.20088324,1111.111111111111
