,radius,20,y,x
Circle,inf,2.7529,7.57845841,0.0
Bar 1,0.0577,2.652,7.033104000000001,300.36434194678145
Bar 2,0.0515,2.2501,5.062950010000001,377.0383636535018
Bar 3,0.0451,1.9482,3.79548324,491.6396674549289
Bar 4,0.03875,1.7466,3.0506115599999997,665.9729448491155
Bar 5,0.0324,1.5534,2.4130515599999995,952.5986892242038
Straight line current,0.03,0.2468,0.06091024,1111.111111111111
