,radius,25,y,x
Circle,inf,3.0547,9.33119209,0.0
Bar 1,0.0577,2.8593,8.17559649,300.36434194678145
Bar 2,0.0515,2.4502,6.00348004,377.0383636535018
Bar 3,0.0451,2.1493,4.619490490000001,491.6396674549289
Bar 4,0.03875,1.948,3.794704,665.9729448491155
Bar 5,0.0324,1.7466,3.0506115599999997,952.5986892242038
Straight line current,0.03,0.2468,0.06091024,1111.111111111111
