,radius,40,y,x
Circle,inf,3.8572,14.877991840000002,0.0
Bar 1,0.0577,3.5547,12.63589209,300.36434194678145
Bar 2,0.0515,3.055,9.333025000000001,377.0383636535018
Bar 3,0.0451,2.6522,7.034164840000001,491.6396674549289
Bar 4,0.03875,2.3512,5.52814144,665.9729448491155
Bar 5,0.0324,2.049,4.198401,952.5986892242038
Straight line current,0.03,0.3477,0.12089529,1111.111111111111
