"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.815802084E-1,-8.120547317E-2,1.047904368E-1,6.170414650E-1,6.311224399E-1
6.915742083E-1,-1.039296535E-1,2.151523930E-1,4.900925660E-1,5.452363234E-1
7.015682083E-1,-7.319939241E-2,2.718512352E-1,4.203820610E-1,5.059469560E-1
7.115612084E-1,-3.653128378E-2,2.844155860E-1,4.197938311E-1,5.083833405E-1
7.215552083E-1,5.485645764E-2,2.937281540E-1,4.571844363E-1,5.461712810E-1
7.315482083E-1,9.651940405E-2,3.478194304E-1,4.605752367E-1,5.851699754E-1
7.415422084E-1,6.379553474E-2,3.745783357E-1,5.524022502E-1,6.704677814E-1
7.515352083E-1,7.757588714E-2,2.695085482E-1,7.389915794E-1,7.904185159E-1
7.615292083E-1,1.441639790E-1,-4.508787990E-2,1.057895213E0,1.068624560E0
7.715222083E-1,1.546418971E-1,-3.940909329E-1,1.328798468E0,1.394606449E0
7.815162083E-1,4.975841649E-2,-6.052659036E-1,1.478103027E0,1.598002275E0
7.915102083E-1,-1.573172906E-1,-5.529801013E-1,1.626452735E0,1.725075135E0
8.015032083E-1,-3.805881771E-1,-3.767394666E-1,1.632228615E0,1.717833006E0
8.114972083E-1,-5.553492469E-1,-1.025139695E-1,1.575015364E0,1.673199120E0
8.214902083E-1,-5.819722044E-1,1.989977056E-1,1.562471917E0,1.679169504E0
8.314842083E-1,-3.777978492E-1,3.419767463E-1,1.408173836E0,1.497542274E0
8.414772084E-1,9.242255241E-5,3.755980901E-1,1.090710372E0,1.153569698E0
8.514712083E-1,2.305743512E-1,4.385147153E-1,6.221203566E-1,7.952945523E-1
8.614652083E-1,1.012343064E-1,4.495305772E-1,4.511319834E-1,6.448613735E-1
8.714582084E-1,5.686095625E-2,4.198379776E-1,8.522041994E-1,9.517085128E-1
8.814522083E-1,1.818681411E-1,1.135638915E-1,1.248737222E0,1.267011218E0
8.914452083E-1,1.515213843E-1,-2.789953633E-1,1.753734341E0,1.782240523E0
9.014392084E-1,2.335626438E-2,-6.549644592E-1,2.280729269E0,2.373025486E0
9.114322083E-1,1.007372931E-2,-8.777730502E-1,2.649260561E0,2.790908190E0
9.214262083E-1,1.961908959E-2,-8.687860259E-1,2.921592291E0,3.048093762E0
9.314192084E-1,-4.324015975E-3,-7.205649564E-1,3.028053716E0,3.112610136E0
9.414132083E-1,5.241787635E-2,-4.790417670E-1,2.925176049E0,2.964605129E0
9.514072083E-1,7.897867072E-2,-1.771820363E-1,2.727400412E0,2.734290422E0
9.614002084E-1,2.092601538E-2,1.067507158E-1,2.421074139E0,2.423516784E0
9.713942083E-1,-1.378568798E-1,2.801497498E-1,1.996309590E0,2.020579219E0
9.813872083E-1,-3.575385261E-1,3.771160273E-1,1.594892389E0,1.677418262E0
9.913812084E-1,-4.512007613E-1,3.759047766E-1,1.363286515E0,1.484397740E0
1.001374208E0,-3.503161549E-1,2.852760038E-1,1.185123024E0,1.268313995E0
1.011368208E0,-2.279669681E-1,1.533669117E-1,1.194818292E0,1.226002080E0
1.021362208E0,-2.876764320E-2,-8.119165912E-2,1.574389712E0,1.576744312E0
1.031355208E0,2.031167766E-1,-3.844077976E-1,2.077661317E0,2.122663970E0
1.041349208E0,4.757935656E-1,-6.927668546E-1,2.426883348E0,2.568281180E0
1.051342208E0,3.379813073E-1,-7.641220352E-1,2.535474914E0,2.669596765E0
1.061336208E0,7.068052154E-2,-5.094554745E-1,2.617099121E0,2.667161117E0
1.071329208E0,-1.179463065E-1,-1.297625792E-1,2.757336987E0,2.762907330E0
1.081323208E0,-1.933803586E-1,1.054057100E-1,2.775659822E0,2.784383913E0
1.091317208E0,-1.499451942E-1,1.282673000E-1,2.553592511E0,2.561204946E0
1.101310208E0,-1.769848390E-1,1.666310281E-2,2.128787032E0,2.136196508E0
1.111304208E0,-1.979030337E-1,-1.748639077E-2,1.792328303E0,1.803305889E0
1.121297208E0,-2.473446042E-1,2.097387484E-1,1.630332947E0,1.662274109E0
1.131291208E0,-1.744369148E-1,4.396155998E-1,1.481285666E0,1.554958951E0
1.141284208E0,1.956981218E-1,4.635204792E-1,1.321201181E0,1.413761490E0
1.151278208E0,5.302483195E-1,4.634894890E-1,1.212346491E0,1.402059129E0
1.161272208E0,6.762638193E-1,5.346446948E-1,1.239223217E0,1.509586660E0
1.171265208E0,7.449680916E-1,5.625034614E-1,1.223039294E0,1.538574898E0
1.181259208E0,7.514740692E-1,4.930012634E-1,1.008855785E0,1.351130459E0
1.191252208E0,6.725687445E-1,2.383743176E-1,6.907310003E-1,9.931164817E-1
1.201246917E0,4.146157562E-1,8.517872930E-2,5.652778190E-1,7.061874071E-1
1.211239917E0,-1.587831145E-1,1.517963496E-1,5.775312442E-1,6.178968742E-1
1.221233917E0,-7.728196223E-1,2.616006276E-1,5.516964912E-1,9.849132324E-1
1.231227917E0,-1.042755602E0,1.989604296E-1,6.749002486E-1,1.257940715E0
1.241220917E0,-1.154814055E0,3.105700354E-1,8.258531374E-1,1.453300606E0
1.251214917E0,-1.065007693E0,2.976542670E-1,7.750004876E-1,1.350357436E0
1.261207917E0,-7.552751979E-1,1.946880153E-1,6.276798892E-1,1.001162370E0
1.271201917E0,-4.472087210E-1,1.556794855E-1,5.595112950E-1,7.329970201E-1
1.281194917E0,-3.456457280E-1,9.648285896E-2,7.257300943E-1,8.096073623E-1
1.291188917E0,-3.675174574E-1,5.938856140E-2,8.546617842E-1,9.322246768E-1
1.301182917E0,-5.188053185E-1,8.712716773E-2,9.299423468E-1,1.068430096E0
1.311175917E0,-6.169977571E-1,8.671596229E-2,9.573576021E-1,1.142251929E0
1.321169917E0,-5.929934020E-1,-1.687652618E-3,9.691485125E-1,1.136174662E0
1.331162917E0,-4.216286874E-1,-1.159292364E-1,1.117749651E0,1.200239401E0
1.341156917E0,-2.088555264E-1,-1.472580332E-1,1.175406706E0,1.202865946E0
1.351149917E0,-1.382927898E-1,-1.135769016E-1,1.060778475E0,1.075767438E0
1.361143917E0,-2.656461151E-1,-1.882436527E-1,8.316559142E-1,8.931153850E-1
1.371137917E0,-3.381866542E-1,-2.810616231E-1,4.871052235E-1,6.562296457E-1
1.381130917E0,-3.467920746E-1,-1.895054819E-1,3.402477247E-1,5.214840216E-1
1.391124917E0,-3.399270049E-1,-1.164434990E-1,3.109455729E-1,4.751806040E-1
1.401117917E0,-3.269420200E-1,-1.372312278E-2,6.396298438E-1,7.184745964E-1
1.411111917E0,-4.486632159E-1,1.301433791E-1,1.077677513E0,1.174574307E0
1.421105917E0,-4.431040487E-1,1.804140848E-1,1.027451684E0,1.133378756E0
1.431098917E0,-4.618687139E-1,3.062742323E-2,8.078951687E-1,9.311043719E-1
1.441092917E0,-5.064624310E-1,-2.513484120E-1,6.787254971E-1,8.833733744E-1
