,Slopes,Intercepts,Uncertainties,Uncertainties of intercept
Vertical,-4.548229853068215,39.6654223422832,0.06893865510441252,3.811821201949241
Horizontal,-0.01546260767159975,0.519006013301036,2.0740119271157179e-07,5.5643482162850406e-05
